comment,upcount,usr_name,headurl,timepoint
提前二十分钟了,223,林圈圈,,25
杨超越妹妹加油 杨超越妹妹加油 杨超越妹妹加油 ,380,蚊,,21
段总我来了,446, 干啥嘞🐾,,13
我竟然这么早,420,灬,http://thirdqq.qlogo.cn/g?b=oidb&k=HkibpkbcXo2plGmgdEQgrqg&s=40,11
紫宁最美,306,成长,,21
黄子韬我来啦,337,Keiko.,http://thirdwx.qlogo.cn/mmopen/vi_32/rB05tlHztMT7oe3zdeqNYuziaicqQEfwWCuvYYNza3oN1VQWIAOZsEiaTQaZ5hm6iaSlM5vxYjQxV7dpR9xO8FH06Q/132,15
黄子韬🌹,296,A000广州瑞麟轴承五金公司,,28
不是8点吗，提前更了啊,167,小粉甜甜🦄,,1
毛毛球冲啊！！！！！！,386,我有小瓜子呀🐹,,23
来啦来啦,168,时光如水,,24
表白黄子韬,340,隔壁老张,,23
小七小七赖美云赖美云,724,罓罒Jun,,17
高颖浠！！！,458,长乐,http://thirdqq.qlogo.cn/g?b=oidb&k=clcPSlCeLA0ibg256JpwxcA&s=40,18
前排祝我的小傅老师生日快乐,184,ion,,0
大哥我来啦,46,孟美岐请C位出道💕,http://thirdqq.qlogo.cn/g?b=oidb&k=AY4FpNXoey3E3PB5qb5cTw&s=40,3
傅菁我来啦,310,肉肉走开,http://thirdqq.qlogo.cn/g?b=oidb&k=RpPicUHTXlA7ribloSRoiaOWw&s=40,7
来了来了宣仪女鹅加油,662,Aiy♡,,5
这么早就更新啦？？？,142,q,,16
朵儿我爱你，大爱朵儿,532,与我相关+（9）,http://thirdqq.qlogo.cn/g?b=oidb&k=ibmzXDMYoN3yEDhUBzjOKFw&s=40,19
大娟大娟,236,悍匪韩非,,8
孟美岐,452,。,http://thirdqq.qlogo.cn/g?b=oidb&k=yC9auSeRjYgoK0tDYB0neg&s=40,22
我来了 美岐,367,躲马马,,16
紫圆圆我爱你,314,effort,,11
发起人终于回来了,311,〝小鱿鱼﹌,,24
杨超越,375,既见君子，云胡不喜,http://thirdqq.qlogo.cn/g?b=oidb&k=4sMy2zGLiaRggDCkwpjZN2g&s=40,9
为紫宁打call😘,323,小粉甜甜🦄,,0
段总 段总 段总,255,bibi,,25
吴宣仪冲啊,424,Aiy♡,,26
发起人我好想你,227,银色月亮🌙,http://thirdwx.qlogo.cn/mmopen/vi_32/Qrqbj3Jhksibo0FcgBl4N5alDoOuBqSlDT0gGFhov36lkoUIO0KpJWJiaibEEze3PPpNlibBeliasln9x6oJT85omqQ/132,1
紫宁我来啦,475,秋小橙子,,14
大哥大哥,197,保护我方毛毛球,,21
终于看到宣仪了,263,.,http://thirdqq.qlogo.cn/g?b=oidb&k=CZtWAExsMxFe0NPTA6ibLtQ&s=40,7
村花加油,481,じ☆ve💖星辰大帝💖,,5
宣仪我来了,442,公子世无双,,8
杨超越，爱你,463,☆｀縴起伱の佐手☆,,20
毛毛球妈妈爱你,169,孟美岐请C位出道💕,http://thirdqq.qlogo.cn/g?b=oidb&k=AY4FpNXoey3E3PB5qb5cTw&s=40,29
为吴芊盈而来！！！小樱加油！！！,142,🤡,http://thirdwx.qlogo.cn/mmopen/vi_32/fkwUfjtictto5NOhHFIQicSmyXVkCzEicdToNqWhpOX3RFGwV15sKkYJQLpT6vRBspIOvqXg4aiakHibWZPibSUhASiaw/132,15
山支 我来了,379,koni大富,http://thirdqq.qlogo.cn/g?b=oidb&k=MmACfecs1AOXiaCU27VEQfw&s=40,14
傅菁妈妈爱你,285,无我,,22
傅菁麻麻来了,92,猪菁女孩,,7
吴宣仪jiYiu,359,.,http://thirdqq.qlogo.cn/g?b=oidb&k=CZtWAExsMxFe0NPTA6ibLtQ&s=40,12
胖娟加油,79,悍匪韩非,,26
孟美岐 我来了！！,447,白天我不在,,6
李子璇加油,234,今天的我,,22
杨超越！加油，出道！,264,Aaron素明,,1
段总段总段总段奥娟爱你爱你爱不完7,417,∝゛Agoni°,,19
村花加油呀！支持你,313,?,http://thirdqq.qlogo.cn/g?b=oidb&k=xSzDUV68xE9Pdq08S0rF7g&s=40,0
为杨超越而来的赞我,796,y清晨u,http://thirdqq.qlogo.cn/g?b=oidb&k=PtrXnkREK5icpmFwrX5ibnug&s=40,4
又来看美岐啦~~~~~~~~~~~~,116,七筒,,25
表白孟美岐,385,⛪,http://thirdqq.qlogo.cn/g?b=oidb&k=hqDRKgE5lCzNugq9EjyJ8A&s=40,17
爱就一个字，yamy有芝士。,186,早纪Kung,,28
紫宁加油啊,217,独一,,15
黄子韬 黄子韬,234,（Recall）追忆 📈📈,,5
紫宁紫宁紫宁紫宁,64,.,,29
这么早 不是8点么,93,本、拉登,http://thirdqq.qlogo.cn/g?b=oidb&k=fd5NmykFVBKviawu676wlsQ&s=40,22
美岐美岐，大哥来看你了,379,踏碎这一场、盛世烟花,,28
nee粉在这里,130,Y,,22
没到8点就出来了啊,95,冰雪人,,21
给笛笛 紫宁 美歧打call,275,貌似距离,http://thirdqq.qlogo.cn/g?b=oidb&k=1tUbEswu3Qu4Yl3lqHFP8A&s=40,20
选一啊妈妈来了！！,323,嬉皮,,10
山支大哥我爱你啊啊啊啊啊啊啊啊啊！！！,157,[種陞],,12
杨超越妹妹加油💪,203,　,,6
sunnee！,94,.,,26
超越！！！,197,milk,,12
紫宁奶菁爱你爱你,231,糖糖糖葫芦诶,,29
我来了，美岐,234,泡8喝9玩10,,4
亲妈，19.45,257,Mon chéri.,,10
孟美岐我爱你,403,保护我方孟美岐,,4
村花我来啦,171,请叫我丶未凉,http://thirdqq.qlogo.cn/g?b=oidb&k=kotqAFJ4c5LaibS8h4rWmCQ&s=40,23
超越，麻麻爱你,43,Yang,,25
孟美岐加油＾０＾~,49,保护我方孟美岐,,12
好期待陈意涵小姐姐啊,184,Holland鸑瀛,http://thirdqq.qlogo.cn/g?b=oidb&k=hwLZnLBFoLEQSocQa7NgEg&s=40,13
杨超越给我冲,179,zdbzxl,,27
罗亦佳各位了解一下,26,于鹏,http://thirdwx.qlogo.cn/mmopen/vi_32/PHxicwRWicribB0bJ7FiaKq2U0kB46zCR3sicojSJIFyaKbWqwPotwUpUTj6Nwic9IkdFmQEzUBcVAQlgYe9qmwmF6Zw/132,24
吕小雨加油,36,二十,,9
陈意涵加油呀,32,Holland鸑瀛,http://thirdqq.qlogo.cn/g?b=oidb&k=hwLZnLBFoLEQSocQa7NgEg&s=40,28
赖美云！！！,32,Lin,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKAflkqicKNYOGqfk83wWxNEpFtq16D0cXFoKTpyf9kf9iaEYBQ9Lkw8PxNxBuO2WibKgNW7CAiawRPXw/132,25
为山支大哥打call,25,北海没有猫,,26
村花最美,57,Dryad,,27
超越加油＾０＾~,86,不够夏🐬,,18
心照不宣 仪眼万年,1,Always°,,2
你们好早,33,❧ 。 Miracles,http://thirdqq.qlogo.cn/g?b=oidb&k=Lt1Cc8bWt6Fbibvnm8qBPxw&s=40,17
第一,1,[ 纹叶 ],http://thirdqq.qlogo.cn/g?b=oidb&k=3xcFaeicdHbfUtg81LaeIyQ&s=40,3
吴芊盈 吕小雨最棒,28,逆丶舞,http://thirdqq.qlogo.cn/g?b=oidb&k=3z5OcrsicTC4gbW9KzworFg&s=40,17
刘人语加油,8,Sea breeze,http://thirdqq.qlogo.cn/g?b=oidb&k=SnO9TDn1V7zibUefyyic0tqg&s=40,21
奕佳稳住,1,tly,,27
赖美云！！！,6,polar bear,http://thirdwx.qlogo.cn/mmopen/vi_32/0Mt0Yf2vEOjCudvAUP4T4eYRK5BNCapMreib0cK3b6COoR4E9r0jiaPdraGb2QZZYxb9D0tZNrQ4Hs8l1qLPz9Eg/132,20
才俩小时？,1,叶落孤城,http://thirdqq.qlogo.cn/g?b=oidb&k=lZDpPITltdT24vAs7Ws6qQ&s=40,10
毛毛球是我的，你们说呢,13,天空々,,29
吕小雨加油,1,Butch,http://thirdqq.qlogo.cn/g?b=oidb&k=BpoKNhVrO5t4HdrrQsXB0w&s=40,17
"来了,第一我的sunnee",1,空,,8
第一！！！,1,Iggy,http://thirdqq.qlogo.cn/g?b=oidb&k=7v7lECGH9gAeYia8jej5A3g&s=40,3
韬韬韬韬韬韬韬韬韬韬韬韬,1,Misunderstand,http://thirdqq.qlogo.cn/g?b=oidb&k=mokT5Dgn0aibzR19m5P2xVQ&s=40,2
杨超越加油 村民一直在 @杨超越,1,愿你似阳光｀,http://thirdqq.qlogo.cn/g?b=oidb&k=XMRBKPpcTJrOv54nyK2fsA&s=40,1
紫宁一定要出道啊,1,笑看浮华。苍生,http://thirdqq.qlogo.cn/g?b=oidb&k=klAib7oHg729w8LSjgS14hQ&s=40,13
来啦来啦~~,1,PTT,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTL3IOgD0ricSnicCSUpX5yu8VcLENPm2xIb5LZQ7exCRiaKKj4XLo145V0YZLoEKCvuySkKlVBVEROzw/132,23
陈意涵为你而来！,1,塞纳河畔,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTL4ZqA6KqJogowB9aY7ibMLOGKNFmEGqbT61hbj0WUA9kXibZT5h14GbdzyFg0ptKZFwWtL3IoW9fHA/132,19
20:07有几个,1,The Promise,http://thirdqq.qlogo.cn/g?b=oidb&k=8nWM26tbCwwia9eQEXXO1mw&s=40,13
为宣仪山支打call,1,淺Sè时光,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTKzbriccqBJoZ2iaiar8ysy5jKWdZZuDiaWlxdRWU7ypzo1JwicQG20IHKCwTibKSxQLTHJG7L5Zq1ibqeHw/132,23
山支大哥,1,顾凉七,,19
有为3A来的吗，,1,YI片空白,http://thirdqq.qlogo.cn/g?b=oidb&k=O3WLlLWqWsHnhhaQXicHNmQ&s=40,27
第一,1,青炴,http://thirdqq.qlogo.cn/g?b=oidb&k=lCxzsfH05TiaFG5zBQoKP5g&s=40,2
难道就我自己,1,忙着考北大,http://thirdqq.qlogo.cn/g?b=oidb&k=1pIgdkXb45unspXtNwPGAA&s=40,1
超越加油超越,1,Disguise丶,http://thirdqq.qlogo.cn/g?b=oidb&k=TUljFsItj6evensG4OibHlQ&s=40,19
吴纤盈第一！！,2,亦梦亦命﹏  ゛,http://thirdqq.qlogo.cn/g?b=oidb&k=aV2REIdFibe9L49bosa5pIQ&s=40,24
人鱼小姐姐加油,1,章浩洋,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTL5ZNic7n8FQBXepiaBuGZnHpT6zibosFic9SK3QBdzaLhia75egkSrIASldfzicLOVN4o5hsKOpWJ8z7Uw/132,3
段奥娟唱歌片段呢？？,1,大毛,http://thirdqq.qlogo.cn/g?b=oidb&k=3zzvqXOgZfPia110V5TctJQ&s=40,16
刘人语，了解一下,1,°七月.,http://thirdqq.qlogo.cn/g?b=oidb&k=fbGpAhSIMibkvsxzQcFG4WA&s=40,18
来看村花 杨超越来看村花 杨超越,1,　   勿忘初心⌒       ,,18
超越加油,251,         霸占n1   ╰ゝ |,http://thirdqq.qlogo.cn/g?b=oidb&k=icHrqD2KgvKiadT6fa2eY4EQ&s=40,44
大哥加油,181,余生有幂才安好,http://thirdqq.qlogo.cn/g?b=oidb&k=nHya2Sj8wEJeECOdicYoHqw&s=40,46
超越爱你,224,覆.水,http://thirdqq.qlogo.cn/g?b=oidb&k=k10wKEiaZcQaZ6emyHPd0MQ&s=40,58
南极以北 超越最美,221,铭也,http://thirdqq.qlogo.cn/g?b=oidb&k=cWibsfe3UleIN0IrxvB2j9A&s=40,56
杨超越,81,梦想,,44
宣仪加油,267,[ 栀虞 ],http://thirdqq.qlogo.cn/g?b=oidb&k=MzGicTU7nJzicKHwLzjL8Pew&s=40,50
超越加油,282,宇斯,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJBiaekFHiaqjguStxLAUV4rXsgOVbR1lPFEdgdOeRc2nHcobYgZhTPbQZ1BMibHiatLgcoTQpn9Rd3WA/132,49
越越，加油,138,Fricoul,,44
村花加油,198,生活,,45
超越，加油，你值得坐那里,207,A🌸 凝萱子,http://thirdwx.qlogo.cn/mmopen/vi_32/K80eTrUiclAzZDgQG7wl7P2YCWswVXpgS22nsLagkP4icCOFO4cmveiaKC7XCicSRD9ib8Tx5C4a6IibcnRKsribRTLAg/132,38
啊哈哈哈,82,听说、巷尾的樱花开了,,46
我来了，第一,113,笙儿.,,55
杨超越！！！,332,抢了你的奶嘴,http://thirdqq.qlogo.cn/g?b=oidb&k=aO9sMtbk1jqy5ILCFVKRaQ&s=40,52
杨超越超越超越超越超越超越超越超越超越超越超越超越,378,CH2-杨超越村民,http://thirdqq.qlogo.cn/g?b=oidb&k=L7RCFRxoFzDmjDMasqSVxQ&s=40,34
大哥加油,160,非典型勿标签,,33
宣仪加油,286,🤘🏼,,31
段总加油,86,离殇,,31
紫宁宝贝,251,十三,,34
杨超越妹妹拿出自信 杨超越妹妹拿出自信 ,433,蚊,,42
赖美云赖美云赖美云赖美云赖美云赖美云赖美云赖美云,390,罓罒Jun,,31
朵儿加油！,140,长乐,http://thirdqq.qlogo.cn/g?b=oidb&k=clcPSlCeLA0ibg256JpwxcA&s=40,34
就更新了,71,小仙儿,http://thirdqq.qlogo.cn/g?b=oidb&k=uyNRozkMwroElBNaVt86gg&s=40,33
就来看黄子韬,193,〝小鱿鱼﹌,,46
来看韬韬了！,238,Lisa,,32
我花我花，村民挺你！！！,352,nothing,http://thirdqq.qlogo.cn/g?b=oidb&k=KNUbhrj97dJeiaXBUrXpdyg&s=40,38
大哥我爱你,259,你的小草莓,http://thirdqq.qlogo.cn/g?b=oidb&k=JsvJjuzArqMWVn8UMsTGmg&s=40,51
我爱傅菁,157,ion,http://thirdqq.qlogo.cn/g?b=oidb&k=TWPBmjPTJZzXJ3ibhZGaIUQ&s=40,31
提前更新了？,116,AirsonZhou,,36
杨超越麻麻爱你,248,Echolzc,,34
宣仪c位出道,262,why。,http://thirdqq.qlogo.cn/g?b=oidb&k=eibocMjlkSVeq2ib2FIBT0ww&s=40,48
超越加油！我们投你上去的！不要害怕,177,ゞ╮Kiss↘Y0u,http://thirdqq.qlogo.cn/g?b=oidb&k=CNTzhOLs8NNbCibbzibTia0jQ&s=40,32
迅速占领前排,40,,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJVoic4QOlX5gjwFxxnwIBvUxjZhIrBEugXHDB7OdmCuMHlbdx7gliaVEAASls623hYicvxORYuZEJ5Q/132,31
孟美岐啊宝贝,315,心向狙击孟美岐,,42
韬韬 来看你 了,186,✅006,http://thirdqq.qlogo.cn/g?b=oidb&k=yQ2WzSHTn2kv8gOKnrVydA&s=40,35
黄子韬黄子韬黄子韬黄子韬黄子韬黄子韬黄子韬,110,zhizhi,http://thirdqq.qlogo.cn/g?b=oidb&k=5qgZoepvCcibPfxpiaKsXydw&s=40,56
选一妈妈来了,98,,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJVoic4QOlX5gjwFxxnwIBvUxjZhIrBEugXHDB7OdmCuMHlbdx7gliaVEAASls623hYicvxORYuZEJ5Q/132,52
菊姐一定要C位出道,325,🌚 五仁君🌚,,50
小七冲啊,95,豳,http://thirdqq.qlogo.cn/g?b=oidb&k=le5DMReKkW1sqaCL80s55g&s=40,33
爱就一个字 yamy有芝士,185,创作者.柒染,,59
来看 发起人 黄子韬 黄子韬 黄子韬,233,（Recall）追忆 📈📈,,39
黄子韬,113,诚And~,http://thirdwx.qlogo.cn/mmopen/vi_32/IEiawcHX9Y3FNSCCLe7qw1Uz6IzQUgESiak2aNaYiauZph5MhTN4s0azaUFPPNV3iaUZKQqAGn5k17AqAZsdn210ibA/132,57
杨超越杨超越杨超越,328,浙江物产金属李,,43
刘人语加油,182,L,http://thirdwx.qlogo.cn/mmopen/vi_32/ajNVdqHZLLCxMk1yC8fQJK64VrFbEyFY542FUkDOfBSwIpyxfjFnL6FSRK0rUyjZrr7OvnpAp3v46nvtCOeNzA/132,43
孟美岐！！！,211,-,http://thirdqq.qlogo.cn/g?b=oidb&k=mic1BzPF29ibpXrXOQMjWPdQ&s=40,59
山支大哥！！,189,假九害人,,33
刘人语！加油，肉肉加油！,213,Hedgehog,http://thirdqq.qlogo.cn/g?b=oidb&k=GZaZDdDicgtwkzcLF8ZiaEDQ&s=40,48
宣仪冲啊,163,Aiy♡,,56
桃酱今天来了吗,74,❀ ,http://thirdqq.qlogo.cn/g?b=oidb&k=19cgfFM9cEALoBWxPPhsAA&s=40,56
村花。小雨俺来了,191,乄叫啥呢灬,,36
菊姐，加油，菊姐，非常美丽,83,潜龙,,34
给宣仪打call,187,り咒歌づ,http://thirdqq.qlogo.cn/g?b=oidb&k=NN3EMn96JnKU6lw0K30Img&s=40,52
豆子大仙，法力无边。撒豆成兵，变化万千。,115,木落楚山,,51
来看山支,240,归.,http://thirdqq.qlogo.cn/g?b=oidb&k=wpa0icwhY3rJzCDFk5E5l6Q&s=40,47
黄子韬要来了 哈哈哈,181,蜜雪儿,,58
朵儿 小樱 小雨 朵儿 小樱 小雨,219,Suwon,http://thirdqq.qlogo.cn/g?b=oidb&k=hNSMsCqI5IiaCw8yLzicSKiaQ&s=40,40
全多多最帅，哈哈哈哈哈哈,64,💋黑头虫ゞ,http://thirdqq.qlogo.cn/g?b=oidb&k=QrlCp9O3XvO5PCiab13zmVg&s=40,43
前排表白美岐,291,💚💚💚,http://thirdqq.qlogo.cn/g?b=oidb&k=Ef1dSRTTnjCeicaHicJlcb4g&s=40,55
村民们！全军出击！,230,羊卓雍措,,35
黄子韬来啦好看了,56,佟,http://thirdqq.qlogo.cn/g?b=oidb&k=Rdh1iaTWlic6H7rERJq2FeUQ&s=40,52
杨超越妈妈爱你,321,桕叁,http://thirdqq.qlogo.cn/g?b=oidb&k=A3yGk80djya7dzia9zAib8cQ&s=40,39
陈意涵小仙女加油upup,119,王胖猪,http://thirdqq.qlogo.cn/g?b=oidb&k=4icm3oribcjoZX1fJzNxJmqQ&s=40,45
你不投，我不投，菊姐怎么红,294,冲刺,,45
表白赖美云,53,Liberation,,33
今天可以有韬宝啦吧,179,风,,54
杨超越，我们送你出道,336,人生无常,,37
黄子韬我爱你,90,aquamarine♢,http://thirdqq.qlogo.cn/g?b=oidb&k=3gGAepNcBkqeQKNRVM04pQ&s=40,32
王菊加油！,160,大富翁,,48
我的谢晓飞,53,Swaggy-hy,http://thirdqq.qlogo.cn/g?b=oidb&k=9Aj4udmPyw9XTpgYibL8PZw&s=40,59
超越加油,64,李逍遥,,45
奶傅生日快乐,84,暗涌,,42
李子璇必须出道！,108,👑王小猫👑,,51
小樱吴芊盈我来啦!,55,鱼太,,32
菊姐我来了sunnee我来了yamy我来了山支大哥,335,赤名莉香,,41
宣仪加油,167,Yoo_Simba,,40
宣仪照顾好自己,168,ぃ寂言ッ,,51
小樱小七小彩虹冲啊,26,点点点点,http://thirdqq.qlogo.cn/g?b=oidb&k=ldibXFuG87nThciaROHpZSKA&s=40,32
朵儿紫宁！！！,56,Arthur,http://thirdqq.qlogo.cn/g?b=oidb&k=xtplyevw5hIBriccUockArA&s=40,42
我去，这么快啊，好多人都在线等呢！,87,pick小七,,35
吕小雨加油,19,小白,http://thirdqq.qlogo.cn/g?b=oidb&k=eZlVbf5icNNqcibqCvHRrBqw&s=40,45
豆子豆子豆子豆子豆子豆子豆子,31,带带大胖斧🐯,,43
刘人语爱你,24,Sea breeze,http://thirdqq.qlogo.cn/g?b=oidb&k=SnO9TDn1V7zibUefyyic0tqg&s=40,43
山支山支山支大哥,141,呕,http://thirdqq.qlogo.cn/g?b=oidb&k=fjEQxZwfiaxPmkXibweiaID3w&s=40,50
许靖韵了解一下,72,😏,http://thirdqq.qlogo.cn/g?b=oidb&k=pI0yEyULmqtic0DPMWPqIlA&s=40,48
"鬼王yamy,为我点赞",116,蓝风,http://thirdqq.qlogo.cn/g?b=oidb&k=4zGicfQBSkXHbBcTSxXLyLQ&s=40,55
支持超越,73,叶落孤城,http://thirdqq.qlogo.cn/g?b=oidb&k=lZDpPITltdT24vAs7Ws6qQ&s=40,35
陈意涵陈意涵陈意涵陈意涵陈意涵陈意涵,61,困境,http://thirdqq.qlogo.cn/g?b=oidb&k=anQhYjPGDBMSMm9Eicv0HVw&s=40,50
杨超越，我爱你。别怕喷子,33,小贝哥,,51
紫宁是我的!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,33,放血,http://thirdqq.qlogo.cn/g?b=oidb&k=AxzDApbasFnzFl9w8JrPCQ&s=40,36
山支大哥我爱你,97,,,58
吴宣仪最棒,55,-,http://thirdqq.qlogo.cn/g?b=oidb&k=FnqdkAq6OjxzccJ01QpuAw&s=40,47
超越啊，哈哈哈哈哈，你太逗了,19,ZzTai,,38
我来抱走小七,78,O(∩_∩)O哈！,http://thirdqq.qlogo.cn/g?b=oidb&k=hRB536uVaXOPPGwNMewSmA&s=40,37
美岐最美 ,89,子不言,http://thirdqq.qlogo.cn/g?b=oidb&k=ASQw4leOFzmcBa4u0qrYNg&s=40,37
我爱你们,22,初见。,http://thirdqq.qlogo.cn/g?b=oidb&k=vojyJdScbltEsw2hG77Rlg&s=40,37
你不投我不投 菊姐何时能出头！,3,,,50
哟吼,7,未知数,http://thirdqq.qlogo.cn/g?b=oidb&k=xdPISpf0fx0cFBw28bK0xQ&s=40,37
激动激动，我家大娟这期要炸了,38,永恒之眼,http://thirdqq.qlogo.cn/g?b=oidb&k=5t6Zibysw2E4FgZhMIWgxpQ&s=40,46
紫宁 紫宁 紫宁 ,97,威尔 .,,49
抱起村花，就是个百米冲刺,42,AHUI,http://thirdqq.qlogo.cn/g?b=oidb&k=uGJNa5eGZTL9IwLtLibxZ7g&s=40,49
紫婷妹妹加油,25,小萌芽 🍀,http://thirdqq.qlogo.cn/g?b=oidb&k=nYZPwZ3kNATO15yjXA3gJg&s=40,36
老村长来给村花点赞了,9,壹/heart壹乂,http://thirdqq.qlogo.cn/g?b=oidb&k=3hwC0kCVPOdXOn9H25gGlg&s=40,30
宣仪 爱你,14,快乐每一天,http://thirdqq.qlogo.cn/g?b=oidb&k=56licYv43of30zTQOZNDOEQ&s=40,35
第101位,16,蠡兀,http://thirdqq.qlogo.cn/g?b=oidb&k=8wiaJa9F2Izduo4WV0RYIicQ&s=40,48
杨超越我爱你,4,半梦生。,http://thirdqq.qlogo.cn/g?b=oidb&k=WkWcM4J4SDz22IAKHfm6mg&s=40,30
心照不宣，仪眼万年。山支大哥nb,25,石天齐,,55
杨超越求你了退赛吧村名有能耐就solo让她出道,20,热妹日记,http://thirdqq.qlogo.cn/g?b=oidb&k=SLJcMekBMN9hEhSmxiaJJwA&s=40,56
胖虎小七小樱村花彩虹小米傅菁罗亦佳 冲啊！！,30,Xander💪🏻,,39
为菊打call,48,无睡意,http://thirdqq.qlogo.cn/g?b=oidb&k=UrY73tlTJNqll2e89cOEWg&s=40,53
飞上天吕小雨，俺来看你了😂😂😂,26,时间诠释１切,,53
yamy,25,but,,38
韬韬在哪呢？没韬不看,3,静静聆听,http://thirdqq.qlogo.cn/g?b=oidb&k=YEn9baoKKfdGK5vucmrbsg&s=40,52
欢迎收看这期的101小姐姐们 谢谢,9,顾凉七,,53
恭喜杨超越出道让人知道中国女团多菜,16,中日天。,,55
赖美云赖美云赖美云赖美云赖美云赖美云赖美云赖美云,14,可乐,http://thirdqq.qlogo.cn/g?b=oidb&k=rZBDFoWKG7mZoYNicuWqA6w&s=40,57
挺杨超越越出道。。。,39,爱我momo就现在,,47
超越 加油加油 ,8,没有神的过往,,44
朵儿高颖浠小樱吴芊盈希望出道,19,陌~双,http://thirdqq.qlogo.cn/g?b=oidb&k=XL1VwG3Qds5UIra6ictthSw&s=40,58
吴宣仪加油,26, 梓初.,http://thirdqq.qlogo.cn/g?b=oidb&k=mqmu7kRt1ibcU7ROkK5TKtw&s=40,49
我就看看有没有人手滑点赞给我,5,诈胡小王子,,46
啊啊啊啊啊啊啊啊sunnee麻麻来了,5,sweeties,http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTLuZDtHcgRW4B6anCNNGXyo1xzNIOknzll0VExAcPiaCGWGw34ENRJcboFg7bgPxsGUzRfdiaafMpRQ/132,49
